,url,CN,O,C,businessCategory,serialNumber,juristiction,issuer_CN,issuer_O,expired,notBefore,notAfter,verCode,time_collected,target
0,http://sillyabba.com/abut/Adobe1/Adobe1/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&amp;fid.13InboxLight.aspxn.1774256418&amp;fid.125289964252813InboxLight99642_Product-email&amp;email=,*.hostgator.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200903000000Z',b'20210903235959Z',0,1620479589.5749304,Other
1,https://www.cybersolution.eu/,*.aruba.it,Aruba S.p.A.,IT,,,,Actalis Organization Validated Server CA G3,Actalis S.p.A.,0.0,b'20200723123537Z',b'20220723123537Z',0,1620479589.2811353,Other
2,https://dopeydog.co.nz/wp-includes/index.html?jhBgVdSEQAZSXDRcFvgHBnjMOmmKIjnHBUgyVtFCcRESXRDCfVGGBH,Plesk,Odin,US,,,,Plesk,Odin,1.0,b'20160428040009Z',b'20170428040009Z',10,1620479588.706929,Other
3,http://unrecognisedrequestedpayee.com/lloyds/Login.php,raa.namecheap.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20201111000000Z',b'20211129235959Z',0,1620479589.3107545,Other
4,https://paypal.me.holdpaystatic.shop/connexion,*.web-hosting.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200507000000Z',b'20220405235959Z',0,1620479588.9381995,PayPal
5,https://reidooleoanalia.com.br/wwm/public_html/webmail/webmail/index.php,*.prodns.com.br,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200908000000Z',b'20210908235959Z',0,1620479589.0349648,Other
6,https://dadf-gfd.co.jp.ocjpgxcdsadsyndyabcga.top/mobile,dadf-gfd.co.jp.ocjpgxcdsadsyndyabcga.top,,,,,,R3,Let's Encrypt,0.0,b'20210404164447Z',b'20210703164447Z',0,1620479589.20477,Other
7,https://dadf-gfd.co.jp.ocjpgxcdsadsyndyabcga.top/mobile/,dadf-gfd.co.jp.ocjpgxcdsadsyndyabcga.top,,,,,,R3,Let's Encrypt,0.0,b'20210404164447Z',b'20210703164447Z',0,1620479589.20477,Other
8,https://wgjflohpzqymtbuyiifinfphqh-dot-gl099898987fhkl.uk.r.appspot.com/,*.google.com,Google LLC,US,,,,GTS CA 1O1,Google Trust Services,0.0,b'20210316192807Z',b'20210608192806Z',0,1620479589.3433688,Other
9,https://crystelex.com/BoxOffice/authorize.php?client_id=00000001-0000-0ff1-cf00-000000000000&amp;_pageLabel=page_logonform&amp;_pageSession=a26180937f046c521c875a575935eda7,*.web-hosting.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200507000000Z',b'20220405235959Z',0,1620479588.9780235,Other
10,http://email.2020cycling.cc/,email.secureserver.net,,,,,,Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",0.0,b'20210304133740Z',b'20220405133740Z',0,1620479589.6335258,Other
11,https://www.finanziamento-espresso.com/hjvjhy78/verify.php?authorize_client_id:476jmeck-yqza-psf6-2vlx-xpk6wtcs8bgl_0qhvcmtpbiw31zuna869kel7y2x5ofg4sjdr7k0nldzxjphsi5qw361fbgv9or428yacuetmnycw0g3v9s6xdbti4q7afku5oj21ezplrmh8&status=putuser,*.web-hosting.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200507000000Z',b'20220405235959Z',0,1620479588.7594264,Other
12,http://www.finanziamento-espresso.com/hjvjhy78/verify.php,*.web-hosting.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200507000000Z',b'20220405235959Z',0,1620479588.7594264,Other
13,https://qxqysgrmhwlpeuhvfxmcdhmjtb-dot-poised-bot-306515.uk.r.appspot.com/,*.google.com,Google LLC,US,,,,GTS CA 1O1,Google Trust Services,0.0,b'20210323081859Z',b'20210615081858Z',0,1620479589.5927825,Other
14,http://qxqysgrmhwlpeuhvfxmcdhmjtb-dot-poised-bot-306515.uk.r.appspot.com/,*.google.com,Google LLC,US,,,,GTS CA 1O1,Google Trust Services,0.0,b'20210323081859Z',b'20210615081858Z',0,1620479589.5927825,Other
15,https://fbpjpgbavqqyfhioqijgpfqebi-dot-gle39404049.rj.r.appspot.com/,*.google.com,Google LLC,US,,,,GTS CA 1O1,Google Trust Services,0.0,b'20210323081859Z',b'20210615081858Z',0,1620479589.6237178,Other
16,http://wp1.lngeslegal.pw72n.spectrum.myjino.ru/wp-admin/ln/g/index.php,*.jino.ru,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,1.0,b'20200331000000Z',b'20210430235959Z',0,1620479588.6297777,ING Direct
17,http://4574c5a83f3739528.temporary.link//DZE59G63BS5V23Q6F5V6FDBXDFVD65S/G0SFG54BXDFG5DV6D/T0SJEDR5TF4GFCEFZPGLFCRISFD/6EZF8E4GERF6ER65ER65,*.inmotionhosting.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20191029000000Z',b'20211028235959Z',0,1620479589.4188514,Other
